DATE,day,month,year,RAINs,PRCPs,TMAXs,TMINs,rain_s,PRCPj,SNOWj,SNWDj,TMAXj,TMINj,prec_j,PRCPs1,TMAXs1,TMINs1,rain_s1,PRCPj1,SNOWj1,SNWDj1,TMAXj1,TMINj1,prec_j1,PRCPs2,TMAXs2,TMINs2,rain_s2,PRCPj2,SNOWj2,SNWDj2,TMAXj2,TMINj2,prec_j2,PRCPs3,TMAXs3,TMINs3,RAINs3,rain_s3,PRCPj3,SNOWj3,SNWDj3,TMAXj3,TMINj3,prec_j3
1/26/1948,26,1,1948,FALSE,0,45,32,0,0.43,5,39,32,29,1,0,46,30,0,0,0,34,31,22,0,0.1,45,34,1,0,0,34,33,21,0,0,47,43,0,0,0,34,39,28,0,
1/27/1948,27,1,1948,FALSE,0,53,33,0,0.22,0,37,40,31,1,0,45,32,0,0.43,5,39,32,29,1,0,46,30,0,0,0,34,31,22,0,0.1,45,34,1,0,0,34,33,21,0,
1/28/1948,28,1,1948,FALSE,0,53,25,0,0,0,37,39,33,0,0,53,33,0,0.22,0,37,40,31,1,0,45,32,0,0.43,5,39,32,29,1,0,46,30,0,0,0,34,31,22,0,
1/29/1948,29,1,1948,TRUE,0.22,42,34,1,0,0,36,35,30,0,0,53,25,0,0,0,37,39,33,0,0,53,33,0,0.22,0,37,40,31,1,0,45,32,0,0.43,5,39,32,29,1,
1/30/1948,30,1,1948,TRUE,0.03,47,30,1,0,0,36,35,27,0,0.22,42,34,1,0,0,36,35,30,0,0,53,25,0,0,0,37,39,33,0,0,53,33,0,0.22,0,37,40,31,1,
1/31/1948,31,1,1948,TRUE,0.21,35,27,1,0,0,36,31,27,0,0.03,47,30,1,0,0,36,35,27,0,0.22,42,34,1,0,0,36,35,30,0,0,53,25,0,0,0,37,39,33,0,
2/1/1948,1,2,1948,TRUE,0.03,39,30,1,0,0,34,30,17,0,0.21,35,27,1,0,0,36,31,27,0,0.03,47,30,1,0,0,36,35,27,0,0.22,42,34,1,0,0,36,35,30,0,
2/2/1948,2,2,1948,FALSE,0,43,26,0,0.29,0,30,35,16,1,0.03,39,30,1,0,0,34,30,17,0,0.21,35,27,1,0,0,36,31,27,0,0.03,47,30,1,0,0,36,35,27,0,
2/3/1948,3,2,1948,TRUE,0.2,38,26,1,0,0,30,37,29,0,0,43,26,0,0.29,0,30,35,16,1,0.03,39,30,1,0,0,34,30,17,0,0.21,35,27,1,0,0,36,31,27,0,
2/4/1948,4,2,1948,TRUE,0.14,39,31,1,0,0,30,31,22,0,0.2,38,26,1,0,0,30,37,29,0,0,43,26,0,0.29,0,30,35,16,1,0.03,39,30,1,0,0,34,30,17,0,
2/5/1948,5,2,1948,FALSE,0,36,26,0,0,0,30,25,10,0,0.14,39,31,1,0,0,30,31,22,0,0.2,38,26,1,0,0,30,37,29,0,0,43,26,0,0.29,0,30,35,16,1,
2/6/1948,6,2,1948,FALSE,0,43,20,0,0,0,30,32,16,0,0,36,26,0,0,0,30,25,10,0,0.14,39,31,1,0,0,30,31,22,0,0.2,38,26,1,0,0,30,37,29,0,
2/7/1948,7,2,1948,TRUE,0.06,43,27,1,0,0,28,32,15,0,0,43,20,0,0,0,30,32,16,0,0,36,26,0,0,0,30,25,10,0,0.14,39,31,1,0,0,30,31,22,0,
2/8/1948,8,2,1948,TRUE,0.56,44,35,1,0,0,28,19,16,0,0.06,43,27,1,0,0,28,32,15,0,0,43,20,0,0,0,30,32,16,0,0,36,26,0,0,0,30,25,10,0,
2/9/1948,9,2,1948,FALSE,0,45,32,0,0,0,28,25,18,0,0.56,44,35,1,0,0,28,19,16,0,0.06,43,27,1,0,0,28,32,15,0,0,43,20,0,0,0,30,32,16,0,
2/10/1948,10,2,1948,FALSE,0,39,27,0,0,0,28,20,5,0,0,45,32,0,0,0,28,25,18,0,0.56,44,35,1,0,0,28,19,16,0,0.06,43,27,1,0,0,28,32,15,0,
2/11/1948,11,2,1948,FALSE,0,46,23,0,0.22,0,24,38,11,1,0,39,27,0,0,0,28,20,5,0,0,45,32,0,0,0,28,25,18,0,0.56,44,35,1,0,0,28,19,16,0,
2/12/1948,12,2,1948,FALSE,0,43,26,0,0,0,24,39,33,0,0,46,23,0,0.22,0,24,38,11,1,0,39,27,0,0,0,28,20,5,0,0,45,32,0,0,0,28,25,18,0,
2/13/1948,13,2,1948,FALSE,0,47,35,0,0.15,4,28,34,18,1,0,43,26,0,0,0,24,39,33,0,0,46,23,0,0.22,0,24,38,11,1,0,39,27,0,0,0,28,20,5,0,
2/14/1948,14,2,1948,TRUE,0.5,46,39,1,0,0,28,19,5,0,0,47,35,0,0.15,4,28,34,18,1,0,43,26,0,0,0,24,39,33,0,0,46,23,0,0.22,0,24,38,11,1,
2/15/1948,15,2,1948,TRUE,0.35,45,37,1,0,0,28,6,0,0,0.5,46,39,1,0,0,28,19,5,0,0,47,35,0,0.15,4,28,34,18,1,0,43,26,0,0,0,24,39,33,0,
2/16/1948,16,2,1948,TRUE,0.84,52,37,1,0,0,28,7,-3,0,0.35,45,37,1,0,0,28,6,0,0,0.5,46,39,1,0,0,28,19,5,0,0,47,35,0,0.15,4,28,34,18,1,
2/17/1948,17,2,1948,TRUE,0.13,57,46,1,0.2,2,30,11,-1,1,0.84,52,37,1,0,0,28,7,-3,0,0.35,45,37,1,0,0,28,6,0,0,0.5,46,39,1,0,0,28,19,5,0,
2/18/1948,18,2,1948,TRUE,0.01,49,32,1,0,0,30,14,5,0,0.13,57,46,1,0.2,2,30,11,-1,1,0.84,52,37,1,0,0,28,7,-3,0,0.35,45,37,1,0,0,28,6,0,0,
2/19/1948,19,2,1948,FALSE,0,45,30,0,0,0,30,12,3,0,0.01,49,32,1,0,0,30,14,5,0,0.13,57,46,1,0.2,2,30,11,-1,1,0.84,52,37,1,0,0,28,7,-3,0,
2/20/1948,20,2,1948,TRUE,0.74,45,35,1,0.27,3,33,18,10,1,0,45,30,0,0,0,30,12,3,0,0.01,49,32,1,0,0,30,14,5,0,0.13,57,46,1,0.2,2,30,11,-1,1,
2/21/1948,21,2,1948,TRUE,0.46,49,37,1,0.27,3,36,23,18,1,0.74,45,35,1,0.27,3,33,18,10,1,0,45,30,0,0,0,30,12,3,0,0.01,49,32,1,0,0,30,14,5,0,
2/22/1948,22,2,1948,TRUE,0.11,47,38,1,0,0,36,26,19,0,0.46,49,37,1,0.27,3,36,23,18,1,0.74,45,35,1,0.27,3,33,18,10,1,0,45,30,0,0,0,30,12,3,0,
2/23/1948,23,2,1948,FALSE,0,47,36,0,0,0,36,25,20,0,0.11,47,38,1,0,0,36,26,19,0,0.46,49,37,1,0.27,3,36,23,18,1,0.74,45,35,1,0.27,3,33,18,10,1,
2/24/1948,24,2,1948,TRUE,0.05,44,36,1,0.15,0,36,38,22,1,0,47,36,0,0,0,36,25,20,0,0.11,47,38,1,0,0,36,26,19,0,0.46,49,37,1,0.27,3,36,23,18,1,
2/25/1948,25,2,1948,TRUE,0.98,47,41,1,0.6,6,42,41,34,1,0.05,44,36,1,0.15,0,36,38,22,1,0,47,36,0,0,0,36,25,20,0,0.11,47,38,1,0,0,36,26,19,0,
2/26/1948,26,2,1948,TRUE,0.09,49,37,1,0,0,42,38,25,0,0.98,47,41,1,0.6,6,42,41,34,1,0.05,44,36,1,0.15,0,36,38,22,1,0,47,36,0,0,0,36,25,20,0,
2/27/1948,27,2,1948,FALSE,0,47,35,0,0,0,42,33,15,0,0.09,49,37,1,0,0,42,38,25,0,0.98,47,41,1,0.6,6,42,41,34,1,0.05,44,36,1,0.15,0,36,38,22,1,
2/28/1948,28,2,1948,FALSE,0,50,32,0,0.65,6,48,30,20,1,0,47,35,0,0,0,42,33,15,0,0.09,49,37,1,0,0,42,38,25,0,0.98,47,41,1,0.6,6,42,41,34,1,
2/29/1948,29,2,1948,FALSE,0,46,34,0,0,0,48,32,22,0,0,50,32,0,0.65,6,48,30,20,1,0,47,35,0,0,0,42,33,15,0,0.09,49,37,1,0,0,42,38,25,0,
3/1/1948,1,3,1948,TRUE,0.19,47,32,1,0,0,48,30,19,0,0,46,34,0,0,0,48,32,22,0,0,50,32,0,0.65,6,48,30,20,1,0,47,35,0,0,0,42,33,15,0,
3/2/1948,2,3,1948,FALSE,0,50,31,0,0,0,48,25,18,0,0.19,47,32,1,0,0,48,30,19,0,0,46,34,0,0,0,48,32,22,0,0,50,32,0,0.65,6,48,30,20,1,
3/3/1948,3,3,1948,FALSE,0,52,28,0,0.8,6,54,25,15,1,0,50,31,0,0,0,48,25,18,0,0.19,47,32,1,0,0,48,30,19,0,0,46,34,0,0,0,48,32,22,0,
3/4/1948,4,3,1948,FALSE,0,57,31,0,1.25,12,60,30,24,1,0,52,28,0,0.8,6,54,25,15,1,0,50,31,0,0,0,48,25,18,0,0.19,47,32,1,0,0,48,30,19,0,
3/5/1948,5,3,1948,FALSE,0,47,40,0,0.12,12,72,32,27,1,0,57,31,0,1.25,12,60,30,24,1,0,52,28,0,0.8,6,54,25,15,1,0,50,31,0,0,0,48,25,18,0,
3/6/1948,6,3,1948,TRUE,0.06,47,41,1,0.1,2,74,32,25,1,0,47,40,0,0.12,12,72,32,27,1,0,57,31,0,1.25,12,60,30,24,1,0,52,28,0,0.8,6,54,25,15,1,
3/7/1948,7,3,1948,TRUE,0.16,42,34,1,0,0,74,33,17,0,0.06,47,41,1,0.1,2,74,32,25,1,0,47,40,0,0.12,12,72,32,27,1,0,57,31,0,1.25,12,60,30,24,1,
3/8/1948,8,3,1948,TRUE,0.11,42,33,1,0,0,74,36,22,0,0.16,42,34,1,0,0,74,33,17,0,0.06,47,41,1,0.1,2,74,32,25,1,0,47,40,0,0.12,12,72,32,27,1,
3/9/1948,9,3,1948,FALSE,0,47,33,0,0,0,74,34,16,0,0.11,42,33,1,0,0,74,36,22,0,0.16,42,34,1,0,0,74,33,17,0,0.06,47,41,1,0.1,2,74,32,25,1,
3/10/1948,10,3,1948,FALSE,0,51,31,0,0.2,2,76,30,24,1,0,47,33,0,0,0,74,34,16,0,0.11,42,33,1,0,0,74,36,22,0,0.16,42,34,1,0,0,74,33,17,0,
3/11/1948,11,3,1948,TRUE,0.08,51,31,1,0.1,1,77,35,28,1,0,51,31,0,0.2,2,76,30,24,1,0,47,33,0,0,0,74,34,16,0,0.11,42,33,1,0,0,74,36,22,0,
3/12/1948,12,3,1948,TRUE,0.06,60,37,1,0,0,76,38,25,0,0.08,51,31,1,0.1,1,77,35,28,1,0,51,31,0,0.2,2,76,30,24,1,0,47,33,0,0,0,74,34,16,0,
3/13/1948,13,3,1948,TRUE,0.02,54,35,1,0,0,76,35,24,0,0.06,60,37,1,0,0,76,38,25,0,0.08,51,31,1,0.1,1,77,35,28,1,0,51,31,0,0.2,2,76,30,24,1,
3/14/1948,14,3,1948,FALSE,0,52,34,0,0,0,76,35,17,0,0.02,54,35,1,0,0,76,35,24,0,0.06,60,37,1,0,0,76,38,25,0,0.08,51,31,1,0.1,1,77,35,28,1,
3/15/1948,15,3,1948,FALSE,0,52,36,0,0,0,76,40,29,0,0,52,34,0,0,0,76,35,17,0,0.02,54,35,1,0,0,76,35,24,0,0.06,60,37,1,0,0,76,38,25,0,
3/16/1948,16,3,1948,FALSE,0,50,33,0,0,0,76,38,29,0,0,52,36,0,0,0,76,40,29,0,0,52,34,0,0,0,76,35,17,0,0.02,54,35,1,0,0,76,35,24,0,
3/17/1948,17,3,1948,TRUE,0.01,50,36,1,0.1,1,77,39,32,1,0,50,33,0,0,0,76,38,29,0,0,52,36,0,0,0,76,40,29,0,0,52,34,0,0,0,76,35,17,0,
3/18/1948,18,3,1948,TRUE,0.13,48,35,1,0.12,3,79,40,32,1,0.01,50,36,1,0.1,1,77,39,32,1,0,50,33,0,0,0,76,38,29,0,0,52,36,0,0,0,76,40,29,0,
3/19/1948,19,3,1948,FALSE,0,47,33,0,0,0,79,38,18,0,0.13,48,35,1,0.12,3,79,40,32,1,0.01,50,36,1,0.1,1,77,39,32,1,0,50,33,0,0,0,76,38,29,0,
3/20/1948,20,3,1948,TRUE,0.06,44,33,1,0.16,1,80,32,23,1,0,47,33,0,0,0,79,38,18,0,0.13,48,35,1,0.12,3,79,40,32,1,0.01,50,36,1,0.1,1,77,39,32,1,
3/21/1948,21,3,1948,TRUE,2.04,46,37,1,1.74,12,92,32,28,1,0.06,44,33,1,0.16,1,80,32,23,1,0,47,33,0,0,0,79,38,18,0,0.13,48,35,1,0.12,3,79,40,32,1,
3/22/1948,22,3,1948,TRUE,0.03,44,30,1,0,0,92,33,25,0,2.04,46,37,1,1.74,12,92,32,28,1,0.06,44,33,1,0.16,1,80,32,23,1,0,47,33,0,0,0,79,38,18,0,
3/23/1948,23,3,1948,FALSE,0,54,31,0,0,0,90,28,18,0,0.03,44,30,1,0,0,92,33,25,0,2.04,46,37,1,1.74,12,92,32,28,1,0.06,44,33,1,0.16,1,80,32,23,1,
3/24/1948,24,3,1948,TRUE,0.4,54,36,1,0,0,90,30,22,0,0,54,31,0,0,0,90,28,18,0,0.03,44,30,1,0,0,92,33,25,0,2.04,46,37,1,1.74,12,92,32,28,1,
3/25/1948,25,3,1948,TRUE,0.33,50,35,1,0,0,89,30,20,0,0.4,54,36,1,0,0,90,30,22,0,0,54,31,0,0,0,90,28,18,0,0.03,44,30,1,0,0,92,33,25,0,
3/26/1948,26,3,1948,FALSE,0,56,36,0,0,0,89,34,13,0,0.33,50,35,1,0,0,89,30,20,0,0.4,54,36,1,0,0,90,30,22,0,0,54,31,0,0,0,90,28,18,0,
3/27/1948,27,3,1948,FALSE,0,70,38,0,0,0,88,34,14,0,0,56,36,0,0,0,89,34,13,0,0.33,50,35,1,0,0,89,30,20,0,0.4,54,36,1,0,0,90,30,22,0,
3/28/1948,28,3,1948,FALSE,0,64,39,0,0.05,0,88,38,29,1,0,70,38,0,0,0,88,34,14,0,0,56,36,0,0,0,89,34,13,0,0.33,50,35,1,0,0,89,30,20,0,
3/29/1948,29,3,1948,FALSE,0,49,39,0,0.03,0,88,40,34,1,0,64,39,0,0.05,0,88,38,29,1,0,70,38,0,0,0,88,34,14,0,0,56,36,0,0,0,89,34,13,0,
3/30/1948,30,3,1948,FALSE,0,54,38,0,0.06,0,85,40,33,1,0,49,39,0,0.03,0,88,40,34,1,0,64,39,0,0.05,0,88,38,29,1,0,70,38,0,0,0,88,34,14,0,
3/31/1948,31,3,1948,FALSE,0,53,40,0,0.03,0,85,40,29,1,0,54,38,0,0.06,0,85,40,33,1,0,49,39,0,0.03,0,88,40,34,1,0,64,39,0,0.05,0,88,38,29,1,
4/1/1948,1,4,1948,TRUE,0.17,46,37,1,0,0,85,34,28,0,0,53,40,0,0.03,0,85,40,29,1,0,54,38,0,0.06,0,85,40,33,1,0,49,39,0,0.03,0,88,40,34,1,
4/2/1948,2,4,1948,TRUE,0.34,45,33,1,0,0,85,35,28,0,0.17,46,37,1,0,0,85,34,28,0,0,53,40,0,0.03,0,85,40,29,1,0,54,38,0,0.06,0,85,40,33,1,
4/3/1948,3,4,1948,TRUE,0.03,47,32,1,0,0,85,38,28,0,0.34,45,33,1,0,0,85,35,28,0,0.17,46,37,1,0,0,85,34,28,0,0,53,40,0,0.03,0,85,40,29,1,
4/4/1948,4,4,1948,TRUE,0.19,49,31,1,0,0,85,38,30,0,0.03,47,32,1,0,0,85,38,28,0,0.34,45,33,1,0,0,85,35,28,0,0.17,46,37,1,0,0,85,34,28,0,
4/5/1948,5,4,1948,TRUE,0.08,51,32,1,0,0,82,36,29,0,0.19,49,31,1,0,0,85,38,30,0,0.03,47,32,1,0,0,85,38,28,0,0.34,45,33,1,0,0,85,35,28,0,
4/6/1948,6,4,1948,TRUE,0.09,44,34,1,0.15,4.3,82,38,29,1,0.08,51,32,1,0,0,82,36,29,0,0.19,49,31,1,0,0,85,38,30,0,0.03,47,32,1,0,0,85,38,28,0,
4/7/1948,7,4,1948,FALSE,0,55,30,0,0,0,82,38,32,0,0.09,44,34,1,0.15,4.3,82,38,29,1,0.08,51,32,1,0,0,82,36,29,0,0.19,49,31,1,0,0,85,38,30,0,
4/8/1948,8,4,1948,TRUE,0.11,59,32,1,0,0,82,39,34,0,0,55,30,0,0,0,82,38,32,0,0.09,44,34,1,0.15,4.3,82,38,29,1,0.08,51,32,1,0,0,82,36,29,0,
4/9/1948,9,4,1948,TRUE,0.54,50,39,1,0,0,80,38,32,0,0.11,59,32,1,0,0,82,39,34,0,0,55,30,0,0,0,82,38,32,0,0.09,44,34,1,0.15,4.3,82,38,29,1,
4/10/1948,10,4,1948,TRUE,0.18,53,38,1,0,0,80,36,28,0,0.54,50,39,1,0,0,80,38,32,0,0.11,59,32,1,0,0,82,39,34,0,0,55,30,0,0,0,82,38,32,0,
4/11/1948,11,4,1948,FALSE,0,51,38,0,0,0,80,38,28,0,0.18,53,38,1,0,0,80,36,28,0,0.54,50,39,1,0,0,80,38,32,0,0.11,59,32,1,0,0,82,39,34,0,
4/12/1948,12,4,1948,TRUE,0.03,50,39,1,0,0,72,39,34,0,0,51,38,0,0,0,80,38,28,0,0.18,53,38,1,0,0,80,36,28,0,0.54,50,39,1,0,0,80,38,32,0,
4/13/1948,13,4,1948,TRUE,0.01,59,39,1,0,0,72,38,32,0,0.03,50,39,1,0,0,72,39,34,0,0,51,38,0,0,0,80,38,28,0,0.18,53,38,1,0,0,80,36,28,0,
4/14/1948,14,4,1948,FALSE,0,63,42,0,0,0,72,39,32,0,0.01,59,39,1,0,0,72,38,32,0,0.03,50,39,1,0,0,72,39,34,0,0,51,38,0,0,0,80,38,28,0,
4/15/1948,15,4,1948,TRUE,0.33,65,47,1,0,0,64,39,34,0,0,63,42,0,0,0,72,39,32,0,0.01,59,39,1,0,0,72,38,32,0,0.03,50,39,1,0,0,72,39,34,0,
4/16/1948,16,4,1948,FALSE,0,62,43,0,0,0,64,40,34,0,0.33,65,47,1,0,0,64,39,34,0,0,63,42,0,0,0,72,39,32,0,0.01,59,39,1,0,0,72,38,32,0,
4/17/1948,17,4,1948,TRUE,0.37,54,44,1,1.03,0,64,40,36,1,0,62,43,0,0,0,64,40,34,0,0.33,65,47,1,0,0,64,39,34,0,0,63,42,0,0,0,72,39,32,0,
4/18/1948,18,4,1948,FALSE,0,58,41,0,0,0,59,40,34,0,0.37,54,44,1,1.03,0,64,40,36,1,0,62,43,0,0,0,64,40,34,0,0.33,65,47,1,0,0,64,39,34,0,
4/19/1948,19,4,1948,FALSE,0,61,37,0,0,0,59,38,32,0,0,58,41,0,0,0,59,40,34,0,0.37,54,44,1,1.03,0,64,40,36,1,0,62,43,0,0,0,64,40,34,0,
4/20/1948,20,4,1948,FALSE,0,66,39,0,0,0,59,36,32,0,0,61,37,0,0,0,59,38,32,0,0,58,41,0,0,0,59,40,34,0,0.37,54,44,1,1.03,0,64,40,36,1,
4/21/1948,21,4,1948,TRUE,0.09,55,44,1,0,0,52,40,32,0,0,66,39,0,0,0,59,36,32,0,0,61,37,0,0,0,59,38,32,0,0,58,41,0,0,0,59,40,34,0,
4/22/1948,22,4,1948,TRUE,0.24,57,43,1,0,0,52,40,36,0,0.09,55,44,1,0,0,52,40,32,0,0,66,39,0,0,0,59,36,32,0,0,61,37,0,0,0,59,38,32,0,
4/23/1948,23,4,1948,TRUE,0.02,55,42,1,0,0,52,42,38,0,0.24,57,43,1,0,0,52,40,36,0,0.09,55,44,1,0,0,52,40,32,0,0,66,39,0,0,0,59,36,32,0,
4/24/1948,24,4,1948,TRUE,0.7,46,40,1,0,0,41,42,38,0,0.02,55,42,1,0,0,52,42,38,0,0.24,57,43,1,0,0,52,40,36,0,0.09,55,44,1,0,0,52,40,32,0,
4/25/1948,25,4,1948,TRUE,0.02,49,34,1,0,0,41,40,36,0,0.7,46,40,1,0,0,41,42,38,0,0.02,55,42,1,0,0,52,42,38,0,0.24,57,43,1,0,0,52,40,36,0,
4/26/1948,26,4,1948,FALSE,0,50,32,0,1.04,0,41,43,36,1,0.02,49,34,1,0,0,41,40,36,0,0.7,46,40,1,0,0,41,42,38,0,0.02,55,42,1,0,0,52,42,38,0,
4/27/1948,27,4,1948,FALSE,0,53,31,0,0,0,39,43,39,0,0,50,32,0,1.04,0,41,43,36,1,0.02,49,34,1,0,0,41,40,36,0,0.7,46,40,1,0,0,41,42,38,0,
4/28/1948,28,4,1948,TRUE,0.05,45,38,1,0,0,39,44,39,0,0,53,31,0,0,0,39,43,39,0,0,50,32,0,1.04,0,41,43,36,1,0.02,49,34,1,0,0,41,40,36,0,
4/29/1948,29,4,1948,FALSE,0,54,33,0,0,0,39,44,40,0,0.05,45,38,1,0,0,39,44,39,0,0,53,31,0,0,0,39,43,39,0,0,50,32,0,1.04,0,41,43,36,1,
4/30/1948,30,4,1948,TRUE,0.16,56,35,1,0,0,26,42,38,0,0,54,33,0,0,0,39,44,40,0,0.05,45,38,1,0,0,39,44,39,0,0,53,31,0,0,0,39,43,39,0,
5/1/1948,1,5,1948,TRUE,0.01,58,38,1,0,0,,55,34,0,0.16,56,35,1,0,0,26,42,38,0,0,54,33,0,0,0,39,44,40,0,0.05,45,38,1,0,0,39,44,39,0,
5/2/1948,2,5,1948,TRUE,0.08,57,35,1,0,0,,57,33,0,0.01,58,38,1,0,0,,55,34,0,0.16,56,35,1,0,0,26,42,38,0,0,54,33,0,0,0,39,44,40,0,
5/3/1948,3,5,1948,TRUE,0.59,53,42,1,2.03,0,,48,33,1,0.08,57,35,1,0,0,,57,33,0,0.01,58,38,1,0,0,,55,34,0,0.16,56,35,1,0,0,26,42,38,0,
5/4/1948,4,5,1948,FALSE,0,57,42,0,0,0,,52,31,0,0.59,53,42,1,2.03,0,,48,33,1,0.08,57,35,1,0,0,,57,33,0,0.01,58,38,1,0,0,,55,34,0,
5/5/1948,5,5,1948,TRUE,0.56,55,45,1,0,0,,55,34,0,0,57,42,0,0,0,,52,31,0,0.59,53,42,1,2.03,0,,48,33,1,0.08,57,35,1,0,0,,57,33,0,
